Code établissement;Appellation officielle;Dénomination principale;Patronyme uai;Secteur Public/Privé;Adresse;Lieu dit;Boite postale;Code postal;Localite d'acheminement;Commune;Coordonnee X;Coordonnee Y;EPSG;Latitude;Longitude;Qualité d'appariement;Localisation;Code nature;Nature;Code état établissement;Etat établissement;Code département;Code région;Code académie;Code commune;Département;Région;Académie;Position;secteur_prive_code_type_contrat;secteur_prive_libelle_type_contrat;code_ministere;libelle_ministere;date_ouverture
0440717R;Ecole maternelle publique Emile Péhant;ECOLE MATERNELLE PUBLIQUE;EMILE PEHANT;Public;21 rue Emile Péhant;;;44000;NANTES;Nantes;355896.1;6688973.1;EPSG:2154;47.211824270546956;-1.5488305002416738;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.211824270546956, -1.5488305002416738;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-01-08
0441045X;Ecole maternelle publique Les Chataigniers;ECOLE MATERNELLE PUBLIQUE;CHATAIGNIERS (LES);Public;77 rue de la Contrie;;;44100;NANTES;Nantes;352066.9;6690135.5;EPSG:2154;47.220275440058636;-1.6002304300150547;Parfaite;Numéro de rue;101;ECOLE MATERNELLE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.220275440058636, -1.6002304300150547;99;SANS OBJET;06;MINISTERE DE L'EDUCATION NATIONALE;1970-10-26
0441413X;Ecole primaire privée Le Sacré-Coeur;ECOLE PRIMAIRE PRIVEE;LE SACRE-COEUR;Privé;24 rue de la salle Verte;;;44100;NANTES;Nantes;353197.7;6689231.4;EPSG:2154;47.21274160686292;-1.584619830205974;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.21274160686292, -1.584619830205974;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-19
0441414Y;Ecole primaire privée Sainte Madeleine La Joliverie;ECOLE PRIMAIRE PRIVEE;STE MADELEINE LA JOLIVERIE;Privé;10 quai Hoche;;96522;44265;NANTES CEDEX 2;Nantes;355631.3;6688416.5;EPSG:2154;47.20668436975939;-1.5518995509711526;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.20668436975939, -1.5518995509711526;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-19
0441417B;Ecole primaire privée Saint Nicolas;ECOLE PRIMAIRE PRIVEE;ST NICOLAS;Privé;5 rue Dugommier;;;44000;NANTES;Nantes;354895.2;6689480.5;EPSG:2154;47.215865067496;-1.56241949144605;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.215865067496, -1.56241949144605;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-19
0441435W;Ecole primaire privée Saint Clair;ECOLE PRIMAIRE PRIVEE;ST CLAIR;Privé;34 rue Danton;;;44100;NANTES;Nantes;352898.9;6689333.9;EPSG:2154;47.213506663875826;-1.5886396453488845;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.213506663875826, -1.5886396453488845;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-19
0441437Y;Ecole primaire privée Sainte Agnès;ECOLE PRIMAIRE PRIVEE;STE AGNES;Privé;55 rue du Chanoine Larose;;;44107;NANTES CEDEX 4;Nantes;353742.6;6691356.6;EPSG:2154;47.23212638780668;-1.5790599493194366;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.23212638780668, -1.5790599493194366;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-19
0441470J;Ecole primaire privée Saint Pierre;ECOLE PRIMAIRE PRIVEE;ST PIERRE;Privé;7 rue du Refuge;;;44000;NANTES;Nantes;355645.7;6689875.5;EPSG:2154;47.21980497219635;-1.5528203474814417;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.21980497219635, -1.5528203474814417;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-19
0441484Z;Ecole primaire privée Notre-Dame des Batignolles;ECOLE PRIMAIRE PRIVEE;N-D.DES BATIGNOLLES;Privé;184 boulevard Jules Verne;;;44300;NANTES;Nantes;358035.5;6692673.7;EPSG:2154;47.24619036951912;-1.5234103272462436;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.24619036951912, -1.5234103272462436;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-22
0441485A;Ecole primaire privée Notre-Dame de Toutes Joies;ECOLE PRIMAIRE PRIVEE;N-D.DE TOUTES JOIES;Privé;42 boulevard Albert Thomas;;;44000;NANTES;Nantes;353891.0;6690401.3;EPSG:2154;47.223618003873476;-1.5763704759784947;Parfaite;Numéro de rue;151;ECOLE DE NIVEAU ELEMENTAIRE;1;OUVERT;044;52;17;44109;Loire-Atlantique;Pays de la Loire;Nantes;47.223618003873476, -1.5763704759784947;30;CONTRAT D'ASSOCIATION TOUTES CLASSES;06;MINISTERE DE L'EDUCATION NATIONALE;1971-03-22
