Identifiant;Identifiant;Nom;Pôle;Commune;Adresse;Complément d’adresse;Marque;Type;Complément type;Automatique;Accessibilité PMR;Propriétaire;Exploitant;Nettoiement;Maintenance;Horaires d’ouverture;Motif;Jours de marché;Géométrie
27;SP_C_15_008;Parc de la Morinière;Loire Sèvre Vignoble;Rezé;Parc de la Morinière;;;;;;;Commune;Commune;Commune;Commune;restreint;;;"{""coordinates"": [-1.5318893654750128, 47.183044224560064], ""type"": ""Point""}"
49;SP_NM_23_001;Eglise;Erdre et Loire;Thouaré-sur-Loire;Place de la République;derrière l'église;;Bâti;siège/urinoirs;non;non;Nantes Métropole;Commune;Nantes Métropole - pôle;Commune;24/24;Centre ville;mercredi;"{""coordinates"": [-1.4408557027652276, 47.267308434644164], ""type"": ""Point""}"
54;SP_C_13_002;Grand Blottereau;Erdre et Loire;Nantes;Parc du Grand Blottereau;face au n°23 chemin du Ponceau;SAGELEC;Mobilier;WC siège;oui;oui;Commune;Commune;Commune;Commune;restreint;;;"{""coordinates"": [-1.5087793365165487, 47.22749860053499], ""type"": ""Point""}"
63;SP_C_14_001;Jeanne dArc;Erdre et Cens;Orvault;Route de Basse Indre;face à léglise, devant l'arrêt de bus Mairie dOrvault;;Bâti;WC siège + urinoirs;non;oui;Commune;Commune;Nantes Métropole - pôle;Commune;24/24;Centre ville;;"{""coordinates"": [-1.6231917559169406, 47.270568846271864], ""type"": ""Point""}"
67;SP_NM_13_004;Bourgeonnière;Erdre et Cens;Nantes;Avenue d'Assise;proche arrêt de tram Bourgeonnière;MPS;Mobilier;WC siège;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole  bâti;restreint;Présence d'un marché;mardi;"{""coordinates"": [-1.5603522393452003, 47.253561845009685], ""type"": ""Point""}"
81;SP_NM_13_008;Combattants d'Afrique du Nord;Nantes Ouest;Nantes;Rue de la Brasserie;Square des Combattants d'Afrique du Nord - Rue Mathurin Brissonneau;SAGELEC;Mobilier;;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5712312019441348, 47.20927634142336], ""type"": ""Point""}"
83;SP_NM_13_010;Dervallières;Nantes Ouest;Nantes;Place des Dervallières;face au n°14 côté Eglise St Laurent;MPS;Mobilier;;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - pôle;restreint;Présence d'un marché;samedi;"{""coordinates"": [-1.598088213647685, 47.22381867086232], ""type"": ""Point""}"
85;SP_C_13_010;Maurice Schwob;Nantes Ouest;Nantes;Square Maurice Schwob;Avenue de Lusancay;;;;non;;commune;commune;Commune;Commune;;;;"{""coordinates"": [-1.5817694483392137, 47.20029885998709], ""type"": ""Point""}"
94;SP_NM_13_037;Bretagne;Nantes Loire;Nantes;Place de Bretagne;face au n°1 Rue Mercoeur;DECAUX;Mobilier;;oui;oui;Decaux;Decaux;Decaux;Decaux;journée;Centre ville;;"{""coordinates"": [-1.559480093805382, 47.21725793746676], ""type"": ""Point""}"
100;SP_C_13_016;Jardin des Cinq Sens;Nantes Loire;Nantes;Jardin des Cinq Sens;Rue Gaëtan Rondeau;;Bâti;siège/urinoirs;non;;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.5336160718730096, 47.20724677426297], ""type"": ""Point""}"
102;SP_NM_13_017;Parc des Chantiers - Les Nefs;Nantes Loire;Nantes;Parc des Chantiers - Les Nefs;Esplanade des Riveurs;;Bâti;siège/urinoirs;non;oui;Nantes Métropole;Nantes Métropole - pôle;Véolia;Nantes Métropole - pôle;journée;Tourisme;;"{""coordinates"": [-1.5646611273222666, 47.20527468800414], ""type"": ""Point""}"
106;SP_NM_13_020;Cimetière Miséricorde;Nantes Ouest;Nantes;Rue de la Pelleterie;à l'entrée du Cimetière Miséricorde;;Bâti;urinoirs;oui;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;;;"{""coordinates"": [-1.570200229267403, 47.22448790656012], ""type"": ""Point""}"
112;SP_C_13_018;Jardin d'Enfants de Procé;Nantes Ouest;Nantes;Jardin d'Enfants de Procé;Rue des Dervallières;;Bâti;WC siège;non;non;Commune;Commune;Commune;Commune;;Parc / Espaces verts;;"{""coordinates"": [-1.5819734277667692, 47.222404036262255], ""type"": ""Point""}"
119;SP_NM_13_027;Tonneliers;Erdre et Loire;Nantes;Place des Tonneliers;;;Mobilier;WC siège;non;non;Nantes Métropole;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole;restreint;Présence d'un marché;samedi;"{""coordinates"": [-1.5178635234290818, 47.2694653461978], ""type"": ""Point""}"
135;SP_C_16_002;Eglise;Sud-Ouest;St-Aignan-Grandlieu;Rue des Frères Rousseau;entre léglise et le bureau de tabac;;Bâti;siège/urinoirs;non;non;Commune;Commune;Nantes Métropole - pôle;Commune;restreint;Centre ville;;"{""coordinates"": [-1.6333303498543148, 47.12305522546469], ""type"": ""Point""}"
17;SP_C_03_003;Les jardins familiaux;Sud-Ouest;Bouguenais;Les jardins familiaux;Triangle de La Gagnerie;;Bâti;siège;non;non;Commune;Commune;Commune;Commune;journée;Parc / Espaces verts;;"{""coordinates"": [-1.6200605603656533, 47.16934832928143], ""type"": ""Point""}"
28;SP_C_15_009;Hôtel de Ville;Loire Sèvre Vignoble;Rezé;Hôtel de Ville  Grignon Dumoulin;;;;;;non;Commune;Commune;Commune;Commune;restreint;;;"{""coordinates"": [-1.5695262894886428, 47.19151848575314], ""type"": ""Point""}"
31;SP_C_15_012;Cimetière La Classerie;Loire Sèvre Vignoble;Rezé;Cimetière La Classerie;Rue de la Guilloterie;;;;;;Commune;Commune;Commune;Commune;restreint;;;"{""coordinates"": [-1.5583192260375125, 47.17172837355657], ""type"": ""Point""}"
44;SP_NM_24_003;Portillon;Loire Sèvre Vignoble;Vertou;Rue du Pré Rond;sur le parking, Lieu-dit Portillon;;Bâti;siège/urinoirs;non;oui;Nantes Métropole;Nantes Métropole - pôle;Nantes Métropole - pôle;Nantes Métropole - bâti;24/24;;;"{""coordinates"": [-1.4682535549249223, 47.149388428457094], ""type"": ""Point""}"
51;SP_NM_12_001;Cellier;Erdre et Loire;Mauves-sur-Loire;Rue du Cellier;parking face à l'école;;;;;;Nantes Métropole;Commune;Commune;Commune;;;;"{""coordinates"": [-1.3924675610641104, 47.296670610371656], ""type"": ""Point""}"
